"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/88072872/status/1187166669203918848"	""	"0"	"Thu Oct 24 00:39:25 +0000 2019"	"0"	"0"	"0"	""	""	""	"JessHealyWalton"	"RT @alisoncroggon: Well this is the worst I’m sorry LGBQTI+ friends. As a cis straight woman I’m on the sidelines here but the only “gender…"	"Melbourne, Victoria"	""	""
"http://twitter.com/367296011/status/1187418587008557083"	""	"0"	"Thu Oct 24 17:20:26 +0000 2019"	"0"	"0"	"0"	""	""	""	"amacdonald866"	"RT @AdamBienkov: The first thing Boris Johnson did when he became mayor of London was cancel regular press conferences and his first big mo…"	"Buckinghamshire UK"	""	""
"http://twitter.com/2186676959/status/1187166597154258944"	""	"0"	"Thu Oct 24 00:39:07 +0000 2019"	"0"	"0"	"0"	""	""	""	"nyag_"	"😳"	"Troy U . "	""	""
"http://twitter.com/707546898127822852/status/1187418586039627776"	""	"0"	"Thu Oct 24 17:20:26 +0000 2019"	"0"	"0"	"1"	"https://t.co/WvII668wWX"	""	""	"laraine_gamble"	"RT @Orwellian_EU: Next they will want rock bands to play ever so quietly and whisper the lyrics at uni gigs. https://t.co/WvII668wWX"	"Nottingham, England"	""	""
"http://twitter.com/789963010051805184/status/1187418628280455169"	""	"0"	"Thu Oct 24 17:20:36 +0000 2019"	"0"	"0"	"0"	""	""	""	"oluwa4mee"	"RT @cpulisic_10: It’s crazy to think that I would end up coming to play for the first team of a club that I trained at as a young kid - che…"	"Lagos, Nigeria"	""	""
"http://twitter.com/19861104/status/1187418623813533698"	""	"0"	"Thu Oct 24 17:20:35 +0000 2019"	"0"	"0"	"1"	"https://t.co/A9zEQE7Piv"	""	""	"smashdad"	"@flightradar24 Can you give me a hand to find Aer Lingus flight EI178 (Dublin to London) - doesn't seem to be showi… https://t.co/A9zEQE7Piv"	"South London"	""	""
"http://twitter.com/598475759/status/1187166643304185856"	""	"0"	"Thu Oct 24 00:39:18 +0000 2019"	"0"	"0"	"0"	""	""	""	"Reiss_Baker94"	"RT @HogwartsFinest: JOB OPPORTUNITY!  Anyone interested in working with children and young teens. It's a PRU (pupil referal unit) school in…"	"London, England"	""	""
"http://twitter.com/48823840/status/1187418575042158594"	""	"0"	"Thu Oct 24 17:20:24 +0000 2019"	"0"	"0"	"1"	"https://t.co/23IYRbWhbu"	""	""	"DrFredDOpie"	"In Oxford for the annual spectacular @southfoodways symposium. Suggestion for a good and healthy lunch place to eat… https://t.co/23IYRbWhbu"	"Metro Boston, MA"	""	""
"http://twitter.com/1084433486096650241/status/1187169196741840896"	""	"0"	"Thu Oct 24 00:49:27 +0000 2019"	"0"	"0"	"1"	"https://t.co/aR8bUYJcG9"	""	""	"Pitstop899"	"#TodayonWTF: I see London, I see France, and I definitely see your underpants   https://t.co/aR8bUYJcG9"	"Magic 89.9 FM Station"	""	""
"http://twitter.com/492044686/status/1187170984282841088"	""	"0"	"Thu Oct 24 00:56:33 +0000 2019"	"0"	"0"	"1"	"https://t.co/vF1WkKqCH0"	""	""	"nurfarahfiah"	"RT @_itsssyafiq1: Malaysia's canteen and cafes need to sell variety of fruits. not just watermelon and pineapple https://t.co/vF1WkKqCH0"	""	""	""
