"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Followers"	"Friends"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/2563557965/status/1187166683447746560"	""	"0"	"Thu Oct 24 00:39:28 +0000 2019"	"0"	"0"	"1"	"https://t.co/vF1WkKqCH0"	""	""	"afiqahzainal7"	"RT @_itsssyafiq1: Malaysia's canteen and cafes need to sell variety of fruits. not just watermelon and pineapple https://t.co/vF1WkKqCH0"	"252"	"221"	"Malaysia"	""	""
"http://twitter.com/150522022/status/1187171020207247360"	""	"0"	"Thu Oct 24 00:56:42 +0000 2019"	"0"	"0"	"0"	""	""	""	"jamal2111"	"Who wants to bust a nutt at 2am. Freak twitter stand up. London"	"451"	"994"	"London, England"	""	""
"http://twitter.com/999464994034024450/status/1187169241180622851"	""	"0"	"Thu Oct 24 00:49:38 +0000 2019"	"0"	"0"	"1"	"https://t.co/NLQLxPIrP5"	""	""	"alexavalles6"	"RT @modernmodeIs: dior exhibition in london https://t.co/NLQLxPIrP5"	"137"	"142"	"El Paso, TX"	""	""
"http://twitter.com/177519695/status/1187171073869008896"	""	"0"	"Thu Oct 24 00:56:55 +0000 2019"	"0"	"0"	"1"	"https://t.co/5ORZomeo7B"	""	""	"Toey_125"	"RT @ChelseaFC: Another epic night in Amsterdam! 😍  Three points are coming back to London! #AJACHE https://t.co/5ORZomeo7B"	"674"	"358"	""	""	""
"http://twitter.com/3403285559/status/1187170993783087104"	""	"0"	"Thu Oct 24 00:56:36 +0000 2019"	"0"	"0"	"1"	"https://t.co/U3OReutJLd"	""	""	"djdotson966"	"RT @D0NNJ: This movie series was already in the gutter but y’all sending it to hell now https://t.co/U3OReutJLd"	"87"	"74"	""	""	""
"http://twitter.com/2867152475/status/1187169182535823361"	""	"0"	"Thu Oct 24 00:49:24 +0000 2019"	"0"	"0"	"0"	""	""	""	"bruna_275"	"RT @noahb1_: South London edition...  Yewande - La Retraite Amber - Elm Green Anna - Virgo Fidelis Molly - Ursuline Arabella - Streatham an…"	"93"	"277"	""	""	""
"http://twitter.com/453827963/status/1187171031250698243"	""	"0"	"Thu Oct 24 00:56:45 +0000 2019"	"0"	"0"	"1"	"https://t.co/sDg7p5HqT8"	""	""	"amaliashr"	"RT @thestylespics: Slightly different photo of Harry with fans last night in London, 10/22 via bbymaude. https://t.co/sDg7p5HqT8"	"818"	"297"	"Indonesia"	""	""
"http://twitter.com/69501940/status/1187171062829719552"	""	"0"	"Thu Oct 24 00:56:52 +0000 2019"	"0"	"0"	"1"	"https://t.co/7BUNV2hURu"	""	""	"AL6AFootball"	"6A Thursday game H Green at Hartselle Blount at Saraland Baldwin Co at BC Rain Gulf Sh at Spanish Ft Albertville at… https://t.co/7BUNV2hURu"	"10259"	"2294"	""	""	""
"http://twitter.com/970703370053935104/status/1187166614480928768"	""	"0"	"Thu Oct 24 00:39:12 +0000 2019"	"0"	"0"	"0"	""	""	""	"callmelyss1"	"I don’t know what the appropriate portmanteau for baby!Basilday is but I do know I need it"	"517"	"336"	"basilday hell"	""	""
"http://twitter.com/2540391196/status/1187166624043941889"	""	"0"	"Thu Oct 24 00:39:14 +0000 2019"	"0"	"0"	"1"	"https://t.co/eJBSWlHHGQ"	""	""	"harrydebut"	"And you notice how he basically has a problem with ANYONE? He got his fans to attack Zayn, attack and do death thre… https://t.co/eJBSWlHHGQ"	"4179"	"445"	"she/her"	""	""
"http://twitter.com/972675956216344576/status/1187166604972482561"	""	"0"	"Thu Oct 24 00:39:09 +0000 2019"	"0"	"0"	"0"	""	""	""	"jackschlichtma1"	"RT @VikeFans: One NFL team has never played in London - The Packers. They have avoided it at all costs.  Why the special treatment?  And th…"	"25"	"124"	"The North, MN"	""	""
"http://twitter.com/3657593055/status/1187171074242416641"	""	"0"	"Thu Oct 24 00:56:55 +0000 2019"	"0"	"0"	"0"	""	""	""	"JoannaArmstro18"	"RT @LadyMephista: Next year I‘m going to visit Zurich, London, Paris Antwerp and Tokyo.  If you want to meet me in one of these cities, get…"	"5414"	"1127"	"South West, England"	""	""
"http://twitter.com/92613363/status/1187169235400830977"	""	"0"	"Thu Oct 24 00:49:36 +0000 2019"	"0"	"0"	"0"	""	""	""	"LucyLovelace1"	"RT @ShaunBaileyUK: Very moved by the bravery of one of our @metpoliceuk officers.   Despite being stabbed twice, she still managed to stop…"	"3940"	"3835"	"London"	""	""
"http://twitter.com/710749656209334272/status/1187171083071508480"	""	"0"	"Thu Oct 24 00:56:57 +0000 2019"	"0"	"0"	"0"	""	""	""	"amcaldwell21"	"RT @PhantomPower14: After quitting leadership for more family time, Ruth Davidson takes up 50K-for-3 weeks-a-year gig with London PR firm t…"	"182"	"1164"	"Scotland"	""	""
"http://twitter.com/3319720975/status/1187169181160169472"	""	"0"	"Thu Oct 24 00:49:23 +0000 2019"	"0"	"0"	"2"	"https://t.co/VX1w1ZnFAb"	"https://t.co/ZrAqTEcsBJ"	""	"theautomatski"	"https://t.co/VX1w1ZnFAb #pittsburgh #southaustralia #BitCoin #iconomi #AVCJsingapore #tucson #southafrica #utrust… https://t.co/ZrAqTEcsBJ"	"11502"	"82"	"California, USA"	""	""
"http://twitter.com/1225252068/status/1187171007141793792"	""	"0"	"Thu Oct 24 00:56:39 +0000 2019"	"0"	"0"	"1"	"https://t.co/vF1WkKqCH0"	""	""	"afiniefinie"	"RT @_itsssyafiq1: Malaysia's canteen and cafes need to sell variety of fruits. not just watermelon and pineapple https://t.co/vF1WkKqCH0"	"1280"	"887"	"Singapore"	""	""
"http://twitter.com/985107559/status/1187169187593998336"	""	"0"	"Thu Oct 24 00:49:25 +0000 2019"	"0"	"0"	"0"	""	""	""	"lindac2013"	"RT @sarahvetwales: This is a game-changer: new research by  Oxford University, shows categorically that methane from Britain's ruminants is…"	"58"	"114"	""	""	""
"http://twitter.com/3711526276/status/1187166692960604160"	""	"0"	"Thu Oct 24 00:39:30 +0000 2019"	"0"	"0"	"1"	"https://t.co/5ORZomeo7B"	""	""	"durant__jr_"	"RT @ChelseaFC: Another epic night in Amsterdam! 😍  Three points are coming back to London! #AJACHE https://t.co/5ORZomeo7B"	"577"	"529"	"Stamford Bridge"	""	""
"http://twitter.com/19089967/status/1187169177670475776"	""	"0"	"Thu Oct 24 00:49:23 +0000 2019"	"0"	"0"	"0"	""	""	""	"LeeBruhGreene"	"That album has some GEMS."	"4370"	"1008"	"DMVirginia."	""	""
"http://twitter.com/1734639450/status/1187166652472930304"	""	"0"	"Thu Oct 24 00:39:21 +0000 2019"	"0"	"0"	"1"	"https://t.co/BzHUqlA7FQ"	""	""	"moremvlik"	"London Pound Cake https://t.co/BzHUqlA7FQ via @TheRealJayMills"	"141"	"83"	"Maryland, USA"	""	""
"http://twitter.com/2832429348/status/1187171066826887168"	""	"0"	"Thu Oct 24 00:56:53 +0000 2019"	"0"	"0"	"0"	""	""	""	"natavelii"	"😂"	"1781"	"765"	""	""	""
"http://twitter.com/1090111904910061568/status/1187166621833539591"	""	"0"	"Thu Oct 24 00:39:13 +0000 2019"	"0"	"0"	"0"	""	""	""	"DandreJMcIntyre"	"If you're in London and you have tickets to see @AriLennox PUHHHHLEEEESE DM me lol"	"162"	"367"	""	""	""
"http://twitter.com/999558834/status/1187170997436370944"	""	"0"	"Thu Oct 24 00:56:37 +0000 2019"	"0"	"0"	"0"	""	""	""	"gshoose"	"RT @theorphanmoon68: You make a giant assumption here, I voted leave yet haven't a racist bone in my body. The majority of leave voters don…"	"66"	"35"	"Wishaw, Scotland"	""	""
"http://twitter.com/1329132350/status/1187166714527531008"	""	"0"	"Thu Oct 24 00:39:35 +0000 2019"	"0"	"0"	"1"	"https://t.co/5ORZomeo7B"	""	""	"donewifppl"	"RT @ChelseaFC: Another epic night in Amsterdam! 😍  Three points are coming back to London! #AJACHE https://t.co/5ORZomeo7B"	"264"	"180"	"+62"	""	""
